Overall Medal Standings
2008 Beijing Olympics
Source: http://results.beijing2008.cn/WRM/ENG/INF/GL/95A/GL0000000.shtml

Rank	Country	Men Gold	Men Silver	Men Bronze	Men Total	Women Gold	Women Silver	Women Bronze	Women Total	Open Gold	Open Silver	Open Bronze	Open Total	Total Gold	Total Silver	Total Bronze	Total Medals	Rank by Total

1  	China  	 24  	10  	8  	42  	27  	11  	19  	57  	  	  	1  	1  	51  	21  	28  	100  	2
2 	United States 	20 	13 	20 	53 	15 	23 	15 	53 	1 	2 	1 	4 	36 	38 	36 	110 	1
3 	Russian Fed. 	12 	8 	20 	40 	11 	13 	8 	32 					23 	21 	28 	72 	3
4 	Great Britain 	11 	8 	7 	26 	7 	5 	6 	18 	1 		2 	3 	19 	13 	15 	47 	4
5 	Germany 	7 	7 	6 	20 	6 	2 	7 	15 	3 	1 	2 	6 	16 	10 	15 	41 	6
6 	Australia 	6 	6 	9 	21 	8 	7 	8 	23 		2 		2 	14 	15 	17 	46 	5
7 	Korea 	8 	6 	4 	18 	4 	4 	4 	12 	1 			1 	13 	10 	8 	31 	8
8 	Japan 	4 	4 	5 	13 	5 	2 	5 	12 					9 	6 	10 	25 	11
9 	Italy 	4 	7 	6 	17 	4 	3 	4 	11 					8 	10 	10 	28 	9
10 	France 	6 	14 	12 	32 	1 	2 	4 	7 			1 	1 	7 	16 	17 	40 	7
11 	Ukraine 	4 	3 	8 	15 	3 	2 	7 	12 					7 	5 	15 	27 	10
12 	Netherlands 	1 		2 	3 	5 	4 	2 	11 	1 	1 		2 	7 	5 	4 	16 	16
13 	Jamaica 	3 			3 	3 	3 	2 	8 					6 	3 	2 	11 	20
14 	Spain 	4 	6 	2 	12 		3 	1 	4 	1 	1 		2 	5 	10 	3 	18 	14
15 	Kenya 	3 	2 	4 	9 	2 	3 		5 					5 	5 	4 	14 	18
16 	Belarus 	3 	3 	5 	11 	1 	2 	5 	8 					4 	5 	10 	19 	13
17 	Romania 			1 	1 	4 	1 	2 	7 					4 	1 	3 	8 	25
18 	Ethiopia 	2 	1 	1 	4 	2 		1 	3 					4 	1 	2 	7 	27
19 	Canada 	1 	5 	3 	9 	1 	3 	3 	7 	1 	1 		2 	3 	9 	6 	18 	14
20 	Poland 	3 	4 		7 		2 	1 	3 					3 	6 	1 	10 	21
21 	Hungary 	2 	4 	1 	7 	1 	1 	1 	3 					3 	5 	2 	10 	21
21 	Norway 	2 	3 		5 	1 	2 	1 	4 			1 	1 	3 	5 	2 	10 	21
23 	Brazil 	1 	3 	5 	9 	2 	1 	3 	6 					3 	4 	8 	15 	17
24 	Czech Republic 	1 	2 		3 	2 	1 		3 					3 	3 		6 	30
25 	Slovakia 	2 	1 	1 	4 	1 	1 		2 					3 	2 	1 	6 	30
26 	New Zealand 	1 	1 	5 	7 	2 			2 					3 	1 	5 	9 	24
27 	Georgia 	3 		2 	5 			1 	1 					3 		3 	6 	30
28 	Cuba 	2 	5 	8 	15 		6 	3 	9 					2 	11 	11 	24 	12
29 	Kazakhstan 	2 	2 	5 	9 		2 	2 	4 					2 	4 	7 	13 	19
30 	Denmark 	1 	2 	1 	4 			1 	1 	1 		1 	2 	2 	2 	3 	7 	27
31 	Mongolia 	2 	1 		3 		1 		1 					2 	2 		4 	44
31 	Thailand 	1 	1 		2 	1 	1 		2 					2 	2 		4 	44
33 	DPR Korea 			1 	1 	2 	1 	2 	5 					2 	1 	3 	6 	30
34 	Argentina 	2 		1 	3 			2 	2 			1 	1 	2 		4 	6 	30
34 	Switzerland 	2 		3 	5 			1 	1 					2 		4 	6 	30
36 	Mexico 	1 			1 	1 		1 	2 					2 		1 	3 	51
